,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Cloud9am,Temp9am,RainToday,RainTomorrow
0,7.7,24.2,0.0,4.8,13.2,NNW,39.0,NNW,NW,9.0,20.0,67.0,39.0,1018.4,1.0,13.5,No,Yes
1,18.3,30.8,0.0,9.8,10.8,E,44.0,SE,SSE,26.0,24.0,18.0,8.0,1017.6,1.0,21.7,No,No
2,14.4,19.4,4.8,5.8,10.1,W,61.0,SW,SSW,30.0,33.0,69.0,62.0,1009.1,4.0,16.4,Yes,No
3,11.8,18.6,0.0,4.0,2.5,WNW,56.0,NW,WNW,20.0,28.0,50.0,42.0,1010.2,7.0,14.8,No,No
4,10.8,19.4,8.8,4.4,11.1,S,31.0,SSE,WSW,15.0,15.0,56.0,48.0,1023.5,4.0,14.8,Yes,No
5,12.2,29.0,0.0,5.2,11.3,SW,26.0,WNW,WSW,2.0,15.0,51.0,21.0,1019.0,1.0,19.0,No,No
6,23.2,32.8,20.4,3.2,6.2,SE,48.0,S,SE,11.0,31.0,92.0,58.0,1010.7,8.0,24.6,Yes,Yes
7,10.3,20.8,0.0,2.4,4.7,SSW,31.0,N,S,2.0,13.0,87.0,62.0,1024.0,7.0,13.7,No,No
8,13.0,17.0,0.2,4.2,8.6,WNW,65.0,NW,WNW,33.0,33.0,76.0,69.0,1003.6,8.0,15.1,No,Yes
9,15.1,22.9,1.2,2.8,0.7,E,31.0,SSE,E,9.0,20.0,91.0,61.0,1025.5,8.0,16.9,Yes,No
10,5.0,17.9,0.0,2.4,4.9,NNE,24.0,SE,N,13.0,11.0,96.0,37.0,1027.2,8.0,7.8,No,No
11,22.9,31.3,0.0,9.4,6.2,ESE,61.0,SE,E,24.0,35.0,54.0,50.0,1020.2,4.0,29.0,No,No
12,2.2,19.1,0.0,1.2,9.8,N,33.0,NNE,N,11.0,19.0,65.0,30.0,1027.8,0.0,8.1,No,No
13,17.9,29.2,0.0,5.2,8.9,NE,31.0,SSE,NE,9.0,24.0,65.0,59.0,1017.0,7.0,24.5,No,No
14,23.1,35.2,0.6,13.8,5.7,N,41.0,NNE,NNE,20.0,9.0,70.0,34.0,1017.7,7.0,23.7,No,No
15,24.4,32.6,2.8,6.0,10.5,ESE,39.0,SE,ESE,15.0,24.0,66.0,53.0,1015.2,3.0,29.3,Yes,No
16,14.0,28.6,0.0,10.6,12.4,S,43.0,SSE,S,19.0,17.0,54.0,24.0,1021.6,1.0,16.4,No,No
17,8.5,19.0,2.6,3.8,1.5,SW,52.0,SW,SW,37.0,33.0,62.0,39.0,1004.4,7.0,13.0,Yes,Yes
18,14.2,21.1,0.0,2.6,1.4,SE,24.0,NW,SE,7.0,17.0,82.0,59.0,1014.6,8.0,16.0,No,No
19,24.7,31.7,0.0,10.8,11.2,SE,56.0,SE,SE,33.0,39.0,57.0,49.0,1012.7,3.0,29.3,No,Yes
20,16.8,26.0,2.2,1.4,10.9,W,63.0,WNW,W,15.0,26.0,62.0,30.0,1003.7,1.0,19.3,Yes,No
21,10.7,18.4,5.2,2.8,8.0,NW,46.0,N,WNW,9.0,2.0,96.0,56.0,1014.4,6.0,12.0,Yes,Yes
22,2.2,14.8,0.8,0.4,6.6,W,22.0,NE,NNW,7.0,6.0,93.0,62.0,1032.5,3.0,10.0,No,No
23,18.3,24.5,1.4,5.2,11.0,SE,46.0,SSE,SSE,28.0,22.0,62.0,57.0,1017.1,1.0,21.7,Yes,No
24,16.7,22.7,3.2,4.2,0.7,ESE,24.0,SSW,ESE,6.0,4.0,72.0,64.0,1022.0,7.0,21.0,Yes,No
25,26.1,33.7,0.4,6.4,9.5,N,39.0,N,N,15.0,30.0,72.0,60.0,1007.8,3.0,30.5,No,Yes
26,10.9,17.1,0.0,1.6,8.8,W,39.0,W,WNW,13.0,22.0,61.0,50.0,1014.0,1.0,13.6,No,No
27,7.4,22.3,0.0,2.0,9.8,SSW,17.0,SSW,WSW,4.0,7.0,67.0,45.0,1022.5,1.0,13.4,No,No
28,15.3,27.1,0.0,8.0,13.2,SE,39.0,NE,ESE,15.0,28.0,59.0,52.0,1023.6,2.0,23.5,No,No
29,0.1,16.6,0.0,4.2,10.8,SE,35.0,ESE,S,11.0,17.0,35.0,17.0,1027.7,0.0,8.2,No,No
