Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2011-12-03,Canberra,7.7,24.2,0.0,4.8,13.2,NNW,39.0,NNW,NW,9.0,20.0,67.0,39.0,1018.4,1014.0,1.0,3.0,13.5,22.7,No,Yes
2008-08-17,Darwin,18.3,30.8,0.0,9.8,10.8,E,44.0,SE,SSE,26.0,24.0,18.0,8.0,1017.6,1013.7,1.0,1.0,21.7,29.8,No,No
2015-09-25,NorfolkIsland,14.4,19.4,4.8,5.8,10.1,W,61.0,SW,SSW,30.0,33.0,69.0,62.0,1009.1,1009.6,4.0,3.0,16.4,18.4,Yes,No
2013-08-23,Sydney,11.8,18.6,0.0,4.0,2.5,WNW,56.0,NW,WNW,20.0,28.0,50.0,42.0,1010.2,1008.5,7.0,7.0,14.8,17.4,No,No
2014-10-06,Perth,10.8,19.4,8.8,4.4,11.1,S,31.0,SSE,WSW,15.0,15.0,56.0,48.0,1023.5,1021.7,4.0,2.0,14.8,18.2,Yes,No
2010-04-02,Cobar,12.2,29.0,0.0,5.2,11.3,SW,26.0,WNW,WSW,2.0,15.0,51.0,21.0,1019.0,1016.0,1.0,1.0,19.0,27.9,No,No
2013-01-01,Cairns,23.2,32.8,20.4,3.2,6.2,SE,48.0,S,SE,11.0,31.0,92.0,58.0,1010.7,1008.2,8.0,4.0,24.6,30.5,Yes,Yes
2013-03-18,Watsonia,10.3,20.8,0.0,2.4,4.7,SSW,31.0,N,S,2.0,13.0,87.0,62.0,1024.0,1023.0,7.0,7.0,13.7,18.2,No,No
2013-09-25,Portland,13.0,17.0,0.2,4.2,8.6,WNW,65.0,NW,WNW,33.0,33.0,76.0,69.0,1003.6,1005.1,8.0,1.0,15.1,15.6,No,Yes
2009-04-02,Canberra,15.1,22.9,1.2,2.8,0.7,E,31.0,SSE,E,9.0,20.0,91.0,61.0,1025.5,1023.0,8.0,7.0,16.9,22.3,Yes,No
